Issue,Time with no Label(seconds),
1,227014,Badsmell (>12 hours)
2,56663,Badsmell (>12 hours)
3,56784,Badsmell (>12 hours)
4,56637,Badsmell (>12 hours)
5,56175,Badsmell (>12 hours)
6,6294,
7,5246,
8,228,
9,22692,
10,0,
11,760,
12,0,
13,0,
14,985,
15,0,
16,0,
17,859892,Badsmell (>12 hours)
18,100257,Badsmell (>12 hours)
19,35,
20,0,
21,41495,
22,8426,
23,8446,
24,0,
25,27,
26,0,
27,0,
28,42,
29,0,
30,0,
